,Date,Startup,Industry,Location,Investor,Type,Amount
412,26-08-2018,Shubh Loans,Finance,Bangalore,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Unknown,4200000.0
413,27-08-2018,MyUpchar,Healthcare & Hospitality,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Unknown,5000000.0
414,28-08-2018,Narvar,Software,Bangalore,Accel (formerly known as Accel Partners),Unknown,3000000.0
415,30-08-2018,True North,Finance,Mumbai,Secret,Unknown,600000000.0
417,02-07-2018,Biryani By Kilo,Software,Gurgaon,Ajay Relan and Vinay Mittal,Seed,1000000.0
418,04-07-2018,Anchanto,Software,Pune,MDI Ventures & Telkom Indonesia,Unknown,4000000.0
419,05/072018,Loan Tap,Software,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital ",Unknown,6250000.0
420,06-07-2018,PolicyBazaar,Software,Gurgaon,Info Edge (India) Ltd and Temasek,Unknown,27700000.0
421,09-07-2018,zippserv,Software,Bangalore,Info Edge (India) Ltd,Seed,440000.0
422,09-07-2018,Groww,Software,Bangalore,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed,1100000.0
423,10-07-2018,Avenue Growth,Software,Gurgaon,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed,437000.0
425,10-07-2018,Kinara Capital,Finance,Bangalore,ResponsAbility,Unknown,5000000.0
426,10-07-2018,Shop 101,Software,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma ",Unknown,5000000.0
427,11-07-2018,Sambandh,Software,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Unknown,2500000.0
428,12-07-2018,19th mile,Software,Gurgaon,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed,180000.0
429,12-07-2018,5th Vital,Healthcare & Hospitality,Bangalore,Brand Capital and Others,Seed,500000.0
430,13-07-2018,MEngage,Healthcare & Hospitality,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",Seed,175000.0
431,17-07-2018,Ofbusiness,Finance,Gurgaon,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital ",Unknown,29000000.0
432,17-07-2018,Cars24,Software,Gurgaon,"Kingsway FCI Fund, KCK Global & Others",Unknown,49700000.0
433,18-07-2018,The Ken,Software,Bangalore,Omidyar Network & Others,Seed,1500000.0
434,19-07-2018,Book My Show,Software,Mumbai,"TPG Growth, The Rise Fund & Others",Unknown,100000000.0
435,20-07-2018,HousingMan,Software,Bangalore,Secret,Seed,1500000.0
436,21-07-2018,PaySense,Software,Mumbai,PayU & Others,Unknown,18000000.0
438,23-07-2018,VTION,Software,Gurgaon,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Seed,280000.0
439,23-07-2018,Log9 Materials,Software,Bangalore,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Seed,436000.0
440,24-07-2018,kidovators,Education,Bangalore,Gray Matters,Seed,180000.0
441,24-07-2018,Digit,Software,Pune,Fairfax,Unknown,45000000.0
442,25-07-2018,Black Soil,Finance,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",Unknown,17000000.0
443,25-07-2018,Trell,Software,Bangalore,"BeeNext , WEH Ventures and Sprout Ventures",Seed,1250000.0
444,25-07-2018,iqlect,Software,Bangalore,Ventureast and Exfinity,Seed,2500000.0
445,26-07-2018,Entropik,Software,Bangalore,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Seed,1100000.0
447,26-07-2018,TheCapitalNet,Finance,Hyderabad,Lindwall Family Investments LLC (LFI),Unknown,500000.0
448,30-07-2018,Shuttl,Software,Gurgaon,Amazon Alexa Fund & Dentsu Ventures,Unknown,11000000.0
449,30-07-2018,Cure Fit,Software,Bangalore,"IDG Ventures, Accel Partners, Kalaari Capital and Others",Unknown,120000000.0
450,31-07-2018,Five Star Group,Finance,Chennai,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Unknown,100000000.0
451,31-07-2018,Healthsignz,Healthcare & Hospitality,Hyderabad,Kantilal Patel,Seed,5000000.0
453,02-10-2018,Origo Commodities India Pvt. Ltd,Logistics,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund ",Seed,11000000.0
454,04-10-2018,Grover Zampa,Consumables,Mumbai,Ravi Viswanathan,Unknown,8200000.0
455,05-10-2018,Droom,Automobile,Gurgaon,ZigExN,Series E,3000000.0
456,11-10-2018,Innov8,Real Estate,Delhi,Credence Family Office,Seed,4000000.0
457,12-10-2018,Blackbuck,Logistics,Bangalore,Sequoia Capital India,Unknown,14680000.0
458,12-10-2018,LetsTransport,Logistics,Bangalore,Fosun International,Series C,12000000.0
459,01-09-2018,Netmeds,Software,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Unknown,35000000.0
460,03-09-2018,Udaan,Logistics,Bangalore,DST Global and Lightspeed Venture Partners’ global fund.,Unknown,225000000.0
461,03-09-2018,Daily hunt,Software,Bangalore,Falcon Edge,Unknown,6390000.0
462,04-09-2018,3HCare,Healthcare & Hospitality,Delhi,Secret,Seed,1000000.0
464,05-09-2018,Nykaa,Software,Mumbai,Lighthouse,Unknown,157200000.0
466,06-09-2018,Dream11,Software,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Unknown,100000000.0
467,10-09-2018,MamaEarth,Healthcare & Hospitality,Gurgaon,Stellaris Ventures & Others,Unknown,4000000.0
468,11-09-2018,AutoGrid,Software,Bangalore,"CLP Holdings Group, Innogy, Ørstead, and Tenaska",Unknown,32000000.0
469,11-09-2018,Pharmeasy,Software,Mumbai,InnoVen Capital,Debt,5500000.0
470,11-09-2018,Upwards,Finance,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Unknown,5000000.0
471,12-09-2018,Kissht,Finance,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.

",Unknown,30000000.0
473,01-08-2018,dishq,Consumables,Bangalore,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners ",Seed,400000.0
475,02-08-2018,Samosa Labs,Software,Hyderabad,Xiaomi and Sequoia Capital India,Unknown,7000000.0
476,03-08-2018,ZiffyHomes,Software,Gurgaon,Y Combinator,Unknown,120000.0
477,07-08-2018,My OmNamo,Software,Mumbai,Secret,Seed,1000000.0
478,07-08-2018,ShopX,Software,Bangalore,Fung Strategic Holdings,Unknown,35000000.0
479,07-08-2018,MakeMyTrip,Software,Gurgaon,MakeMyTrip Limited,Unknown,10000000.0
480,08-08-2018,Hansel io,Software,Bangalore,Vertex Ventures,Seed,4000000.0
481,08-08-2018,Metro Bikes,Software,Bangalore,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Unknown,12200000.0
482,08-08-2018,Phone Pe,Software,Bangalore,Flipkart,Unknown,66000000.0
483,09-08-2018,quizizz,Education,Bangalore,"Nexus Venture Partners, Prime Venture Partners and Others",Seed,3000000.0
484,09-08-2018,Happy EMI,Finance,Bangalore,AJ Ventures and Jain International Trade Organisation (JITO),Seed,1000000.0
485,13-08-2018,Inthree,Software,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed,4000000.0
486,13-08-2018,Observe AI,Software,Bangalore,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Unknown,8000000.0
487,16-08-2018,Enakshi,Software,Ahmedabad,Secret,Seed,114811.0
488,17-08-2018,EazyDiner,Software,Gurgaon,Denlow Investment Trust and Beenext,Unknown,5850000.0
489,20-08-2018,Finzy,Finance,Bangalore,Secret,Seed,1000000.0
490,20-08-2018,RawPressery,Software,Mumbai,Alteria Capital,Debt,4800000.0
491,22-08-2018,Pi Ventures,Software,Bangalore,CDC Group plc ,Unknown,6000000.0
492,22-08-2018,Revv,Software,Gurgaon,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Unknown,14270000.0
493,26-08-2018,ZestMoney,Software,Bangalore,"Xiaomi,PayU, Ribbit Capital and Omidyar Network ",Unknown,13400000.0
494,26-08-2018,Shubh Loans,Finance,Bangalore,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Unknown,4200000.0
495,27-08-2018,MyUpchar,Healthcare & Hospitality,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Unknown,5000000.0
496,28-08-2018,Narvar,Software,Bangalore,Accel (formerly known as Accel Partners),Unknown,3000000.0
497,30-08-2018,True North,Finance,Mumbai,Secret,Unknown,600000000.0
499,02-07-2018,Biryani By Kilo,Software,Gurgaon,Ajay Relan and Vinay Mittal,Seed,1000000.0
500,04-07-2018,Anchanto,Software,Pune,MDI Ventures & Telkom Indonesia,Unknown,4000000.0
501,05/072018,Loan Tap,Software,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital ",Unknown,6250000.0
502,06-07-2018,PolicyBazaar,Software,Gurgaon,Info Edge (India) Ltd and Temasek,Unknown,27700000.0
503,09-07-2018,zippserv,Software,Bangalore,Info Edge (India) Ltd,Seed,440000.0
504,09-07-2018,Groww,Software,Bangalore,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed,1100000.0
505,10-07-2018,Avenue Growth,Software,Gurgaon,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed,437000.0
507,10-07-2018,Kinara Capital,Finance,Bangalore,ResponsAbility,Unknown,5000000.0
508,10-07-2018,Shop 101,Software,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma ",Unknown,5000000.0
509,11-07-2018,Sambandh,Software,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Unknown,2500000.0
510,12-07-2018,19th mile,Software,Gurgaon,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed,180000.0
511,12-07-2018,5th Vital,Healthcare & Hospitality,Bangalore,Brand Capital and Others,Seed,500000.0
512,13-07-2018,MEngage,Healthcare & Hospitality,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",Seed,175000.0
513,17-07-2018,Ofbusiness,Finance,Gurgaon,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital ",Unknown,29000000.0
514,17-07-2018,Cars24,Software,Gurgaon,"Kingsway FCI Fund, KCK Global & Others",Unknown,49700000.0
515,18-07-2018,The Ken,Software,Bangalore,Omidyar Network & Others,Seed,1500000.0
516,19-07-2018,Book My Show,Software,Mumbai,"TPG Growth, The Rise Fund & Others",Unknown,100000000.0
517,20-07-2018,HousingMan,Software,Bangalore,Secret,Seed,1500000.0
518,21-07-2018,PaySense,Software,Mumbai,PayU & Others,Unknown,18000000.0
520,23-07-2018,VTION,Software,Gurgaon,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Seed,280000.0
521,23-07-2018,Log9 Materials,Software,Bangalore,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Seed,436000.0
522,24-07-2018,kidovators,Education,Bangalore,Gray Matters,Seed,180000.0
523,24-07-2018,Digit,Software,Pune,Fairfax,Unknown,45000000.0
524,25-07-2018,Black Soil,Finance,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",Unknown,17000000.0
525,25-07-2018,Trell,Software,Bangalore,"BeeNext , WEH Ventures and Sprout Ventures",Seed,1250000.0
526,25-07-2018,iqlect,Software,Bangalore,Ventureast and Exfinity,Seed,2500000.0
527,26-07-2018,Entropik,Software,Bangalore,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Seed,1100000.0
529,26-07-2018,TheCapitalNet,Finance,Hyderabad,Lindwall Family Investments LLC (LFI),Unknown,500000.0
530,30-07-2018,Shuttl,Software,Gurgaon,Amazon Alexa Fund & Dentsu Ventures,Unknown,11000000.0
531,30-07-2018,Cure Fit,Software,Bangalore,"IDG Ventures, Accel Partners, Kalaari Capital and Others",Unknown,120000000.0
532,31-07-2018,Five Star Group,Finance,Chennai,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Unknown,100000000.0
533,31-07-2018,Healthsignz,Healthcare & Hospitality,Hyderabad,Kantilal Patel,Seed,5000000.0
535,02-10-2018,Origo Commodities India Pvt. Ltd,Logistics,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund ",Seed,11000000.0
536,04-10-2018,Grover Zampa,Consumables,Mumbai,Ravi Viswanathan,Unknown,8200000.0
537,05-10-2018,Droom,Automobile,Gurgaon,ZigExN,Series E,3000000.0
538,11-10-2018,Innov8,Real Estate,Delhi,Credence Family Office,Seed,4000000.0
539,12-10-2018,Blackbuck,Logistics,Bangalore,Sequoia Capital India,Unknown,14680000.0
540,12-10-2018,LetsTransport,Logistics,Bangalore,Fosun International,Series C,12000000.0
541,01-09-2018,Netmeds,Software,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Unknown,35000000.0
542,03-09-2018,Udaan,Logistics,Bangalore,DST Global and Lightspeed Venture Partners’ global fund.,Unknown,225000000.0
543,03-09-2018,Daily hunt,Software,Bangalore,Falcon Edge,Unknown,6390000.0
544,04-09-2018,3HCare,Healthcare & Hospitality,Delhi,Secret,Seed,1000000.0
546,05-09-2018,Nykaa,Software,Mumbai,Lighthouse,Unknown,157200000.0
548,06-09-2018,Dream11,Software,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Unknown,100000000.0
549,10-09-2018,MamaEarth,Healthcare & Hospitality,Gurgaon,Stellaris Ventures & Others,Unknown,4000000.0
550,11-09-2018,AutoGrid,Software,Bangalore,"CLP Holdings Group, Innogy, Ørstead, and Tenaska",Unknown,32000000.0
551,11-09-2018,Pharmeasy,Software,Mumbai,InnoVen Capital,Debt,5500000.0
552,11-09-2018,Upwards,Finance,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Unknown,5000000.0
553,12-09-2018,Kissht,Finance,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.

",Unknown,30000000.0
555,01-08-2018,dishq,Consumables,Bangalore,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners ",Seed,400000.0
557,02-08-2018,Samosa Labs,Software,Hyderabad,Xiaomi and Sequoia Capital India,Unknown,7000000.0
558,03-08-2018,ZiffyHomes,Software,Gurgaon,Y Combinator,Unknown,120000.0
559,07-08-2018,My OmNamo,Software,Mumbai,Secret,Seed,1000000.0
560,07-08-2018,ShopX,Software,Bangalore,Fung Strategic Holdings,Unknown,35000000.0
561,07-08-2018,MakeMyTrip,Software,Gurgaon,MakeMyTrip Limited,Unknown,10000000.0
562,08-08-2018,Hansel io,Software,Bangalore,Vertex Ventures,Seed,4000000.0
563,08-08-2018,Metro Bikes,Software,Bangalore,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Unknown,12200000.0
564,08-08-2018,Phone Pe,Software,Bangalore,Flipkart,Unknown,66000000.0
565,09-08-2018,quizizz,Education,Bangalore,"Nexus Venture Partners, Prime Venture Partners and Others",Seed,3000000.0
566,09-08-2018,Happy EMI,Finance,Bangalore,AJ Ventures and Jain International Trade Organisation (JITO),Seed,1000000.0
567,13-08-2018,Inthree,Software,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed,4000000.0
568,13-08-2018,Observe AI,Software,Bangalore,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Unknown,8000000.0
569,16-08-2018,Enakshi,Software,Ahmedabad,Secret,Seed,114811.0
570,17-08-2018,EazyDiner,Software,Gurgaon,Denlow Investment Trust and Beenext,Unknown,5850000.0
571,20-08-2018,Finzy,Finance,Bangalore,Secret,Seed,1000000.0
572,20-08-2018,RawPressery,Software,Mumbai,Alteria Capital,Debt,4800000.0
573,22-08-2018,Pi Ventures,Software,Bangalore,CDC Group plc ,Unknown,6000000.0
574,22-08-2018,Revv,Software,Gurgaon,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Unknown,14270000.0
575,26-08-2018,ZestMoney,Software,Bangalore,"Xiaomi,PayU, Ribbit Capital and Omidyar Network ",Unknown,13400000.0
576,26-08-2018,Shubh Loans,Finance,Bangalore,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Unknown,4200000.0
577,27-08-2018,MyUpchar,Healthcare & Hospitality,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Unknown,5000000.0
578,28-08-2018,Narvar,Software,Bangalore,Accel (formerly known as Accel Partners),Unknown,3000000.0
579,30-08-2018,True North,Finance,Mumbai,Secret,Unknown,600000000.0
581,02-07-2018,Biryani By Kilo,Software,Gurgaon,Ajay Relan and Vinay Mittal,Seed,1000000.0
582,04-07-2018,Anchanto,Software,Pune,MDI Ventures & Telkom Indonesia,Unknown,4000000.0
583,05/072018,Loan Tap,Software,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital ",Unknown,6250000.0
584,06-07-2018,PolicyBazaar,Software,Gurgaon,Info Edge (India) Ltd and Temasek,Unknown,27700000.0
585,09-07-2018,zippserv,Software,Bangalore,Info Edge (India) Ltd,Seed,440000.0
586,09-07-2018,Groww,Software,Bangalore,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed,1100000.0
587,10-07-2018,Avenue Growth,Software,Gurgaon,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed,437000.0
589,10-07-2018,Kinara Capital,Finance,Bangalore,ResponsAbility,Unknown,5000000.0
590,10-07-2018,Shop 101,Software,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma ",Unknown,5000000.0
591,11-07-2018,Sambandh,Software,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Unknown,2500000.0
592,12-07-2018,19th mile,Software,Gurgaon,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed,180000.0
593,12-07-2018,5th Vital,Healthcare & Hospitality,Bangalore,Brand Capital and Others,Seed,500000.0
594,13-07-2018,MEngage,Healthcare & Hospitality,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",Seed,175000.0
595,17-07-2018,Ofbusiness,Finance,Gurgaon,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital ",Unknown,29000000.0
596,17-07-2018,Cars24,Software,Gurgaon,"Kingsway FCI Fund, KCK Global & Others",Unknown,49700000.0
597,18-07-2018,The Ken,Software,Bangalore,Omidyar Network & Others,Seed,1500000.0
598,19-07-2018,Book My Show,Software,Mumbai,"TPG Growth, The Rise Fund & Others",Unknown,100000000.0
599,20-07-2018,HousingMan,Software,Bangalore,Secret,Seed,1500000.0
600,21-07-2018,PaySense,Software,Mumbai,PayU & Others,Unknown,18000000.0
602,23-07-2018,VTION,Software,Gurgaon,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Seed,280000.0
603,23-07-2018,Log9 Materials,Software,Bangalore,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Seed,436000.0
604,24-07-2018,kidovators,Education,Bangalore,Gray Matters,Seed,180000.0
605,24-07-2018,Digit,Software,Pune,Fairfax,Unknown,45000000.0
606,25-07-2018,Black Soil,Finance,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",Unknown,17000000.0
607,25-07-2018,Trell,Software,Bangalore,"BeeNext , WEH Ventures and Sprout Ventures",Seed,1250000.0
608,25-07-2018,iqlect,Software,Bangalore,Ventureast and Exfinity,Seed,2500000.0
609,26-07-2018,Entropik,Software,Bangalore,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Seed,1100000.0
611,26-07-2018,TheCapitalNet,Finance,Hyderabad,Lindwall Family Investments LLC (LFI),Unknown,500000.0
612,30-07-2018,Shuttl,Software,Gurgaon,Amazon Alexa Fund & Dentsu Ventures,Unknown,11000000.0
613,30-07-2018,Cure Fit,Software,Bangalore,"IDG Ventures, Accel Partners, Kalaari Capital and Others",Unknown,120000000.0
614,31-07-2018,Five Star Group,Finance,Chennai,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Unknown,100000000.0
615,31-07-2018,Healthsignz,Healthcare & Hospitality,Hyderabad,Kantilal Patel,Seed,5000000.0
